Año,BARRANQUILLA,BOGOTA,CARRAIPIA,TULENAPA
1971,17.35,21.46666666666667,,
1972,12.1,15.666666666666666,,
1973,9.671428571428573,13.444444444444445,,
1974,11.4,14.242857142857144,,
1975,9.485714285714286,12.090909090909092,,
1976,8.057142857142857,11.366666666666667,,
1977,8.642857142857142,12.375,,
1979,6.425,9.266666666666667,,
1980,6.2,6.890909090909091,,
1981,4.5,6.22,,
1982,3.94,6.05,,
1983,3.5,5.345454545454545,,
1984,3.9375,5.591666666666666,,
1985,3.5444444444444443,6.6909090909090905,,
1986,3.25,3.809090909090909,,
1987,2.7999999999999994,4.1,,
1988,2.8000000000000003,4.5,,
1989,2.914285714285714,4.183333333333334,,
1990,,3.9666666666666663,,
1998,,2.9499999999999997,,
1999,,2.5225,,
2000,,2.3954545454545455,,
2001,,2.1550000000000002,,
2002,,1.9666666666666668,,
2003,,2.0733333333333337,1.12,
2004,,2.2391666666666667,,
2005,,2.1575,,
2006,,2.1483333333333334,,
2007,,2.2357142857142853,,
2008,,2.442727272727273,,
2009,,2.1344444444444446,,
2010,,1.6166666666666665,,
2011,,1.86,,
2012,,1.6600000000000001,,
2013,,1.5842857142857143,,
2014,,1.75,,
2015,,1.87,,1.1875
2016,,1.7985714285714285,,1.3036363636363637
2017,,1.7850000000000001,,1.1858333333333333
2018,,2.0885714285714285,,1.2345454545454546
2019,,1.8,,
2020,,1.61,,
