ID,Codigo,Nombre,Zona,Mes,Ano,Elevacion,Latitud,Longitud,Tipo,Clase,Informacion,Comentarios,CE,Temperatura,pH,OD_mg/L,2H,18O,Fecha
C-007,M01,Rio Chuza,Chingaza,Mar,2023,3026,4.6334,-73.7247,Rio,Superficial,Rio Chuza,Rio Chuza,43,10.6,6.5,,-59.71,-8.61,3/4/2023
C-008,M02,Compuertas Embalse,Chingaza,Mar,2023,2997,4.6062,-73.7106,Rio,Superficial,Compuertas Embalse Chingaza,Compuertas Embalse Chingaza,,,,,,,
C-009,M03,Filtraciones Embalse,Chingaza,Mar,2023,2922,4.5674,-73.7048,Presa,Subterranea,Filtraciones Golillas,,55.5,12.7,8,,-85.65,-11.92,3/4/2023
C-010,M04,Túnel Embalse,Chingaza,Mar,2023,2924,4.5668,-73.7045,Presa,Subterranea,Túnel Valvula de Fondo,Túnel Valvula de Fondo Embalse Chingaza,50,12.7,7.5.,,-87.65,-12.24,3/4/2023
C-011,M05,Infiltraciones cascada,Chingaza,Mar,2023,2955,4.5685,-73.7053,Presa,Subterranea,Infiltraciones,Infiltraciones Cascada,46.48,10.9,8,,-54.43,-8.85,3/4/2023
C-012,M06,Filtración galería derecha,Chingaza,Mar,2023,2987,4.5692,-73.7055,Presa,Subterranea,Infiltraciones,Infiltraciones túnel galeria derecha,417,12.9,7,,-64.37,-10.32,3/4/2023
C-013,M07,Filtraciones,Chingaza,Mar,2023,2979,4.568,-73.7044,Presa,Subterranea,Infiltraciones,Infiltración compuesta galeri izquierda,20.7,10.4,7,,-62.07,-9.53,3/4/2023
C-014,M08,Filtración compuesta gal. Der,Chingaza,Mar,2023,2979,4.5692,-73.7055,Presa,Subterranea,Infiltraciones,Infiltración compuesta galeri derecha,85.3,12,7.5,,-73,-10.78,3/4/2023
C-015,M09,Drenaje valle Frailejones,Chingaza,Abr,2023,3170,4.5341333,-73.7629833,Drenaje,Superficial,Drenaje,Drenaje Valle de los Frailejones,28.5,10.7,7.5,,-62.67,-9.09,4/4/2023
C-016,M10,Quebrada La Paila,Chingaza,Abr,2023,3182,4.53507,-73.7639833,Quebrada,Superficial,Quebrada la Paila,Quebrada la Paila,27,9.7,7,,-71.46,-10.22,4/4/2023
C-017,M11,Laguna Chingaza,Chingaza,Abr,2023,3221,4.5313,-73.74865,Laguna,Superficial,Laguna Chingaza,Salida Laguna Chingaza-Rio Frio,68.7,13.5,7.5,,-77.23,-11.09,4/4/2023
C-018,M12,Compuesta Laguna Chingaza,Chingaza,Abr,2023,3221,4.53115,-73.74865,Laguna,Superficial,Laguna Chingaza,Compuesta Laguna Chingaza,79.9,12.5,7.5,,-74.12,-11.02,4/4/2023
C-019,M13,Río Frio,Chingaza,Abr,2023,,4.5317833,-73.7453333,Rio,Superficial,Rio Frio,Río La Frio antes de la bocatoma Guatiquía,65.2,13.1,7,,-69.49,-10.48,4/4/2023
C-020,M14,Rio La Playa,Chingaza,Abr,2023,3163,4.5314,-73.74515,Rio,Superficial,Rio La Playa,,61.6,10.4,6,,-64.34,-10.05,4/4/2023
C-021,M15,Cascada Los Chorros,Chingaza,Abr,2023,3200,4.53695,-73.7315,Cascada,Superficial,Cascada Los Chorros,,3.45,9.7,7,,-52.32,-8.32,4/4/2023
C-022,M16,Nacimiento rio Chuza,Chingaza,Abr,2023,,4.58965,-73.7858333,Superficial,Superficial,Nacimiento Río Chuza,,56.5,11.9,7,,-57.97,-8.61,4/4/2023
C-023,M17,Laguna Seca,Chingaza,Abr,2023,,4.5895167,-73.7857667,Laguna,Superficial,Laguna Seca,,41.4,11.3,7.5,,-41.15,-6.44,4/4/2023
C-024,M18,Aguas arriba Laguna Seca,Chingaza,Abr,2023,,4.58955,-73.7863,Laguna,Superficial,Aguas arriba Laguna Seca,,15.16,10.6,6.5,,-50.87,-8.15,4/4/2023
