ID,Fecha,Informacion,Conductividad (μS/cm),Temperatura (°C),pH,x,y,Elevacion,Profundidad,Latitud,Longitud,2H,18O,comment,d-excess,Nombre,Tipo_Fuente,Localizacion_geologia,Tipo,Fuente,Mes,Temporada,P (mm),Año,UnidadGeologicaProf,UnidadGeoProf,NIDOS
K34,05/01/2022,,,,,,,1921,,7.867,-74.167,-128.83,-17.22,,8.93,Escuela Agrícola Cachira,Lluvia,Sur,Lluvia,Kale_lluvia,5,Transición,,2022,,,
M20153,11/28/2023,,,,,,,90,,7.867,-74.167,-116.19,-16.45,,15.41,TOTALIZADOR 5,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
M20151,11/28/2023,,,,,,,1339,,7.867,-74.167,-112.1,-15.85,,14.7,TOTALIZADOR 3,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
M20152,11/28/2023,,,,,,,807,,7.867,-74.167,-109.69,-14.62,,7.27,TOTALIZADOR 4,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
M20374,11/28/2023,,,,,,,807,,7.867,-74.167,-108.61,-15.33,,14.03,TOTALIZADOR 4,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
M19979,11/16/2023,,,,,,,807,,7.867,-74.167,-107.7,-15.18,,13.74,TOTALIZADOR 4,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
M19982,11/16/2023,,,,,,,542,,7.867,-74.167,-106.59,-14.7,,11.01,TOTALIZADOR 7,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
,05/15/2005,,,,,,,996,,7.867,-74.167,-104.79,-14.4,Apto Bucaramanga,10.41,Apto Bucaramanga,Lluvia,Sur,Lluvia,GNIP,5,,,2005,J3g,J,
M19976,11/16/2023,,,,,,,1731,,7.867,-74.167,-102.55,-14.49,,13.37,TOTALIZADOR 1,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
M20149,11/28/2023,,,,,,,1731,,7.867,-74.167,-100.84,-14.06,,11.64,TOTALIZADOR 1,Lluvia,Sur,Lluvia,ANH-SGI,12,Seca,,2023,,,
